name,university,link,scholarid
Adam Bargteil,Univ. of Maryland - Baltimore County,http://www.csee.umbc.edu/~adamb,fArWdfAAAAAJ
Adam W. Bargteil,Univ. of Maryland - Baltimore County,http://www.csee.umbc.edu/~adamb,fArWdfAAAAAJ
Adam Wade Bargteil,Univ. of Maryland - Baltimore County,http://www.csee.umbc.edu/~adamb,fArWdfAAAAAJ
Alan T. Sherman,Univ. of Maryland - Baltimore County,http://www.csee.umbc.edu/~sherman,ZzWjYkEAAAAJ
Anthony Johnson,Univ. of Maryland - Baltimore County,http://physics.umbc.edu/people/faculty/johnson,Bm9G4SIAAAAJ
Anupam Joshi,Univ. of Maryland - Baltimore County,http://www.csee.umbc.edu/~joshi,sJ7wlksAAAAJ
Charles K. Nicholas,Univ. of Maryland - Baltimore County,http://www.csee.umbc.edu/~nicholas/charles_nicholas.html,i3uLKmkAAAAJ
Charles Nicholas,Univ. of Maryland - Baltimore County,http://www.csee.umbc.edu/~nicholas/charles_nicholas.html,i3uLKmkAAAAJ
Chein-I Chang,Univ. of Maryland - Baltimore County,http://www.csee.umbc.edu/people/faculty/chein-i-chang,03Bww5gAAAAJ
Chintan Patel,Univ. of Maryland - Baltimore County,http://www.csee.umbc.edu/~cpatel2,rnkQi4gAAAAJ
Curtis R. Menyuk,Univ. of Maryland - Baltimore County,http://www.csee.umbc.edu/people/faculty/curtis-r-menyuk,NOSCHOLARPAGE
Cynthia Matuszek,Univ. of Maryland - Baltimore County,http://www.csee.umbc.edu/~cmat,C3NuO-AAAAAJ
Deepinder Sidhu,Univ. of Maryland - Baltimore County,http://www.csee.umbc.edu/people/faculty/deepinder-sidhu,NOSCHOLARPAGE
Dhananjay Phatak,Univ. of Maryland - Baltimore County,http://www.csee.umbc.edu/~phatak,NOSCHOLARPAGE
Dmitri Perkins,Univ. of Maryland - Baltimore County,https://redirect.cs.umbc.edu/~dmitrip1,NOSCHOLARPAGE
Don Engel,Univ. of Maryland - Baltimore County,https://www.csee.umbc.edu/people/faculty/don-engel,G5dmv5oAAAAJ
Donald Engel,Univ. of Maryland - Baltimore County,https://www.csee.umbc.edu/people/faculty/don-engel,G5dmv5oAAAAJ
Ergun Simsek,Univ. of Maryland - Baltimore County,https://redirect.cs.umbc.edu/~simsek,o30tR0QgLxUC
Fow-Sen Choa,Univ. of Maryland - Baltimore County,http://www.csee.umbc.edu/people/faculty/fow-sen-choa,NOSCHOLARPAGE
Francis Ferraro,Univ. of Maryland - Baltimore County,https://www.csee.umbc.edu/~ferraro,UB5EoOEAAAAJ
Frank Ferraro,Univ. of Maryland - Baltimore County,https://www.csee.umbc.edu/~ferraro,UB5EoOEAAAAJ
Gary M. Carter,Univ. of Maryland - Baltimore County,http://www.csee.umbc.edu/people/faculty/gary-m-carter,NOSCHOLARPAGE
Gymama E. Slaughter,Univ. of Maryland - Baltimore County,http://www.csee.umbc.edu/people/faculty/gymama-slaughter,NOSCHOLARPAGE
Gymama Slaughter,Univ. of Maryland - Baltimore County,http://www.csee.umbc.edu/people/faculty/gymama-slaughter,NOSCHOLARPAGE
Helena M. Mentis,Univ. of Maryland - Baltimore County,https://userpages.umbc.edu/~mentis/index.html,_VdWyEcAAAAJ
Justin Brooks,Univ. of Maryland - Baltimore County,https://www.csee.umbc.edu/people/faculty/justin-brooks,NOSCHOLARPAGE
